Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 10 Pro,Var,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Var,0,4,1 GHz,1920 x 1080,Var,4 GB,256 GB,òkisi Bir Arada,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 10 Pro,Var,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Var,1,4,1 GHz,1920 x 1080,Var,4 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Var,0,4,1 GHz,1920 x 1080,Var,4 GB,256 GB,òkisi Bir Arada,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 10 Pro,Var,1,4,7 GHz,1920 x 1080,Var,64 GB,1 TB,Notebook,YÅksek
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Var,0,4,1 GHz,1920 x 1080,Var,4 GB,256 GB,òkisi Bir Arada,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Ubuntu,Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Ubuntu,Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1280,Yok,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1280,Yok,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Var,0,4,1 GHz,1920 x 1080,Yok,4 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Ubuntu,Var,0,4,2 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,Var,16 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,Var,16 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,Orta
2666 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 11 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Var,0,2,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Windows 11 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,11.Nesil,1195G7,Windows 11 Pro,Var,0,5 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,1,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,1,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Ultrabook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR4,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,128 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 11 Home,Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,Paylaüçmlç,Harici Ekran Kartç,WVA,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,64 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1115G4,Windows 11 Home,Var,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,0,1,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,24 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Home,Var,0,4,7 GHz,1920 x 1080,Yok,40 GB,2 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,4 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,11.Nesil,1195G7,Windows 11 Pro,Var,0,5 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 11 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,11.Nesil,1195G7,Windows 11 Pro,Var,0,5 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 10 Pro,Var,1,4,2 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,11.Nesil,1195G7,Windows 11 Pro,Var,0,5 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,36 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,11.Nesil,1195G7,Windows 11 Pro,Var,0,5 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Windows 10 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,32 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Ubuntu,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,4 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Windows 11 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Home,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,32 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Ubuntu,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,12 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,11.Nesil,1195G7,Windows 11 Pro,Var,0,5 GHz,1920 x 1080,Var,64 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
