Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,12 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,OLED,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,0,4,2 GHz,1920 x 1080,Var,40 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,WVA,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,12 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,OLED,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,WVA,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,TN,11.Nesil,1135G7,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,36 GB,512 GB,Notebook,DÅüÅk
